,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,full_title,zip_code,latitude,longitude
132332,8899,"calle de Alcalá, 419",QUINTANA,89.0,79.0,3,1.0,,,"Calle de Alcalá, 419",False,Calle de Alcalá,419,,3,False,,Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,sale,1172,,False,289000,3247,True,HouseType 1: Pisos,False,False,1966.0,,,,,,True,True,,,,True,,,,,,D,False,,,,,False,False,True,False,"calle de Alcalá, 419, Quintana, Madrid",28027.0,40.43816275,-3.637810139751586
132333,8896,calle de Emilio Gastesi Fernández,QUINTANA,114.0,92.0,3,1.0,,,Calle de Emilio Gastesi Fernández,True,Calle de Emilio Gastesi Fernández,,,9,False,,Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,sale,1092,,False,259000,2272,True,HouseType 1: Pisos,False,False,1957.0,True,False,,,,True,True,,,,,,,,,,en trámite,False,,,,,,,,,"calle de Emilio Gastesi Fernández, Quintana, Madrid",28027.0,40.4357025,-3.6470682
132658,8893,calle San Lamberto,VENTAS,65.0,,3,1.0,,,Calle San Lamberto,True,Calle San Lamberto,,,1,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,868,,False,185000,2846,True,HouseType 1: Pisos,False,False,,,,,,,True,,,,,,,,,,,G,False,,,,,,,,,"calle San Lamberto, Ventas, Madrid",28017.0,40.4208708,-3.6515004
132660,151,calle San Lamberto,VENTAS,79.0,,3,1.0,,,Calle San Lamberto,True,Calle San Lamberto,,,Entreplanta exterior,True,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,1024,,False,235000,2975,True,HouseType 1: Pisos,False,False,1970.0,True,False,,,True,True,True,,,True,,,,,True,True,E,True,,,True,0.0,True,False,False,False,"calle San Lamberto, Ventas, Madrid",28017.0,40.4208708,-3.6515004
132662,8892,VIRGEN DEL CORO,CONCEPCION,72.0,,2,1.0,,,VIRGEN DEL CORO,True,VIRGEN DEL CORO,,,1,False,,Neighborhood 38: Concepción (3341.09 €/m2) - District 7: Ciudad Lineal,sale,1018,,False,233000,3236,True,HouseType 1: Pisos,False,False,,False,True,,,True,True,True,,,,,True,,,,,en trámite,False,,,,,False,False,True,False,"VIRGEN DEL CORO, Concepción, Madrid",28027.0,40.4336737,-3.6585022
132663,8891,"calle del Jazmín, 38",COSTILLARES,140.0,,4,3.0,,,"Calle del Jazmín, 38",False,Calle del Jazmín,38,,5,False,,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,sale,1667,,False,500000,3571,True,HouseType 1: Pisos,True,False,,True,False,,,True,True,True,,True,,,,,,True,,no indicado,True,,,False,15000.0,False,False,True,True,"calle del Jazmín, 38, Costillares, Madrid",28033.0,40.4798479,-3.6656994
132664,8890,calle Paredes de Nava,PUEBLO NUEVO,108.0,,4,2.0,,,Calle Paredes de Nava,True,Calle Paredes de Nava,,,4,False,,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,sale,1094,,False,260000,2407,True,HouseType 1: Pisos,False,False,,False,True,,,,True,,,,,,,,,,,G,False,,,,,False,False,False,True,"calle Paredes de Nava, Pueblo Nuevo, Madrid",28017.0,40.4201535,-3.627506
132666,8865,calle Paredes de Nava,PUEBLO NUEVO,108.0,,4,2.0,,,Calle Paredes de Nava,True,Calle Paredes de Nava,,,3,False,,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,sale,1094,,False,259900,2406,True,HouseType 1: Pisos,False,False,,True,False,,,True,True,True,,,True,,,,,,,G,False,,,,,,,,,"calle Paredes de Nava, Pueblo Nuevo, Madrid",28017.0,40.4201535,-3.627506
132668,8889,VIRGEN DEL VAL,CONCEPCION,116.0,,3,2.0,,,VIRGEN DEL VAL,True,VIRGEN DEL VAL,,,2,False,,Neighborhood 38: Concepción (3341.09 €/m2) - District 7: Ciudad Lineal,sale,1467,,False,412000,3552,True,HouseType 1: Pisos,False,False,,True,False,,True,True,True,True,,,True,,True,,,,,en trámite,False,,,,,False,True,False,True,"VIRGEN DEL VAL, Concepción, Madrid",28027.0,40.4371773,-3.6542842
132669,8887,Pablo Lafargue,VENTAS,55.0,49.0,2,1.0,,,Pablo Lafargue,True,Pablo Lafargue,,,2,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,755,,False,153000,2782,True,HouseType 1: Pisos,False,False,1960.0,False,True,,,True,False,True,,,,,,,,,,en trámite,False,,,,,False,True,True,True,"Pablo Lafargue, Ventas, Madrid",28017.0,40.4219553,-3.6530741
132670,8886,calle de Caleruega,COSTILLARES,96.0,,2,2.0,,,Calle de Caleruega,True,Calle de Caleruega,,,2,False,,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,sale,1560,,False,453000,4719,True,HouseType 1: Pisos,False,False,2004.0,False,True,,True,True,True,True,,True,,,True,,,,True,en trámite,False,,,,,,,,,"calle de Caleruega, Costillares, Madrid",28033.0,40.4822362,-3.6706356
132672,8691,calle de Caleruega,COSTILLARES,130.0,,4,3.0,,,Calle de Caleruega,True,Calle de Caleruega,,,9,False,,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,sale,2058,,False,670000,5154,True,HouseType 1: Pisos,False,,,,,,,,True,,,,True,,True,,,,,en trámite,True,,,True,0.0,,,,,"calle de Caleruega, Costillares, Madrid",28033.0,40.4822362,-3.6706356
132674,8885,calle de Nuestra Señora del Villar,VENTAS,48.0,,2,1.0,,,Calle de Nuestra Señora del Villar,True,Calle de Nuestra Señora del Villar,,,1,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,740,,False,149000,3104,True,HouseType 1: Pisos,True,False,,False,True,,,True,True,True,,,,,True,,,,,en trámite,False,,,,,False,False,True,False,"calle de Nuestra Señora del Villar, Ventas, Madrid",28017.0,40.4235418,-3.6524526
132676,8714,calle de Nuestra Señora del Villar,VENTAS,73.0,,4,1.0,,,Calle de Nuestra Señora del Villar,True,Calle de Nuestra Señora del Villar,,,1,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,878,,False,188000,2575,True,HouseType 1: Pisos,False,False,1960.0,False,True,,,True,True,,,,,,,,,,,en trámite,False,,,,,,,,,"calle de Nuestra Señora del Villar, Ventas, Madrid",28017.0,40.4235418,-3.6524526
132678,8883,"calle Gerardo Cordón, 42",VENTAS,52.0,,1,1.0,,,"Calle Gerardo Cordón, 42",False,Calle Gerardo Cordón,42,,2,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,827,,False,173000,3327,True,HouseType 1: Pisos,False,False,2007.0,False,True,,True,True,True,True,,,,,True,,,,,en trámite,True,,,False,23000.0,,,,,"calle Gerardo Cordón, 42, Ventas, Madrid",28017.0,40.4270537,-3.6531323
