,id,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,operation,buy_price,house_type_id,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,energy_certificate,has_parking,full_title,zip_code,latitude,longitude,zip_codes_count,hosts_count_per_zip_code,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio
133568,8633,CONCEPCION,82.0,70.0,2,1.0,3,0.0,sale,275000,HouseType 1: Pisos,0,0.0,0.0,1.0,,,1.0,1.0,,,en trámite,0,"calle Virgen del Coro, 13, Concepción, Madrid",28027,40.4336737,-3.6585022,233,192,0.1759656652360515,25.338888888888892,3341.09,0.3397094960028015
133569,8625,PUEBLO NUEVO,65.0,60.0,3,1.0,Bajo,1.0,sale,143000,HouseType 1: Pisos,0,0.0,0.0,1.0,,,0.0,1.0,1.0,1.0,no indicado,0,"calle de Santurce, Pueblo Nuevo, Madrid",28017,40.4254113,-3.6397544,327,268,0.18042813455657492,27.03333333333333,2578.87,0.2780287490257361
133570,8624,VENTAS,89.0,82.0,3,1.0,4,0.0,sale,238000,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,,no indicado,1,"calle San Maximiliano, 16, Ventas, Madrid",28017,40.4236963,-3.6551852,327,268,0.18042813455657492,27.03333333333333,2686.93,0.38408146099823964
133571,8623,COLINA,91.0,,2,2.0,7,0.0,sale,370000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,E,1,"calle de Arturo Baldasano, Colina, Madrid",28043,40.4560564,-3.6599452,140,106,0.24285714285714288,27.23009708737864,4677.53,0.29288962336959895
133572,8619,QUINTANA,114.0,90.0,2,2.0,1,0.0,sale,335000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,en trámite,1,"calle de los Hermanos de Pablo, Quintana, Madrid",28027,40.4364388,-3.6452897,233,192,0.1759656652360515,25.338888888888892,2900.58,0.44370436257576074
133573,8618,SAN PASCUAL,60.0,,2,1.0,1,0.0,sale,175000,HouseType 1: Pisos,1,0.0,0.0,1.0,,,1.0,1.0,,,en trámite,0,"ESTEBAN MORA, San Pascual, Madrid",28027,40.4380643,-3.6569756,233,192,0.1759656652360515,25.338888888888892,4015.76,0.20743271510249614
133574,8616,CONCEPCION,95.0,77.0,4,2.0,2,0.0,sale,240000,HouseType 1: Pisos,0,0.0,1.0,0.0,,,1.0,1.0,,,en trámite,0,"VIRGEN DE LA PROVIDENCIA, Concepción, Madrid",28027,40.4393004,-3.6504362,233,192,0.1759656652360515,25.338888888888892,3341.09,0.31067705449419203
133575,8611,CONCEPCION,81.0,73.0,3,1.0,3,0.0,sale,320000,HouseType 1: Pisos,1,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,en trámite,0,"alcala, Concepción, Madrid",28027,40.4317995,-3.6577625,233,192,0.1759656652360515,25.338888888888892,3341.09,0.3741294008841426
133576,8608,PUEBLO NUEVO,90.0,,3,1.0,4,0.0,sale,260000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,en trámite,0,"calle de Emilio Ferrari, Pueblo Nuevo, Madrid",28017,40.4326257,-3.6422903,327,268,0.18042813455657492,27.03333333333333,2578.87,0.42421680813689716
133581,8564,PUEBLO NUEVO,78.0,,2,1.0,4,0.0,sale,295000,HouseType 1: Pisos,0,0.0,,,,1.0,1.0,1.0,,,en trámite,0,"calle de Emilio Ferrari, Pueblo Nuevo, Madrid",28017,40.4326257,-3.6422903,327,268,0.18042813455657492,27.03333333333333,2578.87,0.4602791144958839
133586,7989,PUEBLO NUEVO,50.0,,1,1.0,3,0.0,sale,165000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,en trámite,0,"calle de Emilio Ferrari, Pueblo Nuevo, Madrid",28017,40.4326257,-3.6422903,327,268,0.18042813455657492,27.03333333333333,2578.87,0.30943785456420836
133591,7950,PUEBLO NUEVO,97.0,83.0,3,1.0,3,0.0,sale,239000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,E,1,"calle de Emilio Ferrari, Pueblo Nuevo, Madrid",28017,40.4326257,-3.6422903,327,268,0.18042813455657492,27.03333333333333,2578.87,0.401338570769368
133596,7804,PUEBLO NUEVO,82.0,,2,1.0,2,0.0,sale,246000,HouseType 1: Pisos,1,0.0,0.0,1.0,,,0.0,1.0,1.0,,no indicado,0,"calle de Emilio Ferrari, Pueblo Nuevo, Madrid",28017,40.4326257,-3.6422903,327,268,0.18042813455657492,27.03333333333333,2578.87,0.40909390547022534
133601,8607,PUEBLO NUEVO,110.0,95.0,4,2.0,2,0.0,sale,235000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,en trámite,0,"calle Francisco Madariaga, Pueblo Nuevo, Madrid",28017,40.4351634,-3.6411613,327,268,0.18042813455657492,27.03333333333333,2578.87,0.39707313668389643
133604,8064,PUEBLO NUEVO,64.0,,2,1.0,2,0.0,sale,130000,HouseType 1: Pisos,1,0.0,,,,,,,1.0,,en trámite,0,"calle Francisco Madariaga, Pueblo Nuevo, Madrid",28017,40.4351634,-3.6411613,327,268,0.18042813455657492,27.03333333333333,2578.87,0.2582526455385498
133607,7962,PUEBLO NUEVO,102.0,,4,2.0,3,0.0,sale,225500,HouseType 1: Pisos,1,0.0,0.0,1.0,,,0.0,1.0,,,G,0,"calle Francisco Madariaga, Pueblo Nuevo, Madrid",28017,40.4351634,-3.6411613,327,268,0.18042813455657492,27.03333333333333,2578.87,0.38621566810269614
133610,8606,CONCEPCION,87.0,70.0,2,1.0,3,0.0,sale,260000,HouseType 1: Pisos,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,en trámite,0,"calle Virgen de la Pena, Madrid, Concepción, Madrid",28027,40.4382258,-3.6526575,233,192,0.1759656652360515,25.338888888888892,3341.09,0.3274380516538016
133611,8605,VENTAS,100.0,,4,2.0,1,0.0,sale,298000,HouseType 1: Pisos,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,en trámite,0,"calle de José María de Pereda, Ventas, Madrid",28017,40.4312326,-3.6481485,327,268,0.18042813455657492,27.03333333333333,2686.93,0.44474549020629495
133612,8603,VENTAS,97.0,,2,2.0,1,0.0,sale,330000,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,1.0,1.0,,,en trámite,0,"calle Francisco Villaespesa, Ventas, Madrid",28017,40.4287014,-3.6486355,327,268,0.18042813455657492,27.03333333333333,2686.93,0.47451924687282515
133613,8600,SAN PASCUAL,290.0,278.0,4,4.0,1,0.0,sale,1099000,HouseType 1: Pisos,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,en trámite,1,"calle de Arturo Soria, Madrid, San Pascual, Madrid",28027,40.4474299,-3.6498091,233,192,0.1759656652360515,25.338888888888892,4015.76,0.584945315457099
133614,8599,COSTILLARES,210.0,200.0,4,3.0,2,0.0,sale,880000,HouseType 1: Pisos,0,0.0,,,,1.0,1.0,1.0,,,en trámite,1,"calle joaquín arroyo, Costillares, Madrid",28033,40.4683104,-3.6637528,151,119,0.21192052980132448,26.7625,4235.69,0.5803068685385381
133615,8598,PUEBLO NUEVO,90.0,,3,2.0,2,0.0,sale,245000,HouseType 1: Pisos,0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,en trámite,1,"calle de Gutierre de Cetina, 28, Pueblo Nuevo, Madrid",28017,40.4299538,-3.6412298,327,268,0.18042813455657492,27.03333333333333,2578.87,0.4079306052650967
133616,8597,PUEBLO NUEVO,60.0,48.0,2,1.0,3,0.0,sale,131000,HouseType 1: Pisos,1,0.0,,,,1.0,0.0,1.0,1.0,,G,0,"calle de Pedro Antonio de Alarcón, 24, Pueblo Nuevo, Madrid",28017,40.4266017,-3.642623464845605,327,268,0.18042813455657492,27.03333333333333,2578.87,0.2598037124787213
133617,8595,VENTAS,60.0,50.0,1,1.0,1,0.0,sale,218000,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,1.0,1.0,,,en trámite,0,"Mateo García, Ventas, Madrid",28017,40.4308386,-3.6528884,327,268,0.18042813455657492,27.03333333333333,2686.93,0.36212331545667364
