,full_title,latitude,longitude
84,"calle Arroyo de la Bulera, 31, Butarque, Madrid",40.338156,-3.679459
85,"calle Arroyo de la Bulera, 31, Butarque, Madrid",40.338156,-3.679459
86,"calle Arroyo de la Bulera, 31, Butarque, Madrid",40.338156,-3.679459
87,"calle Arroyo de la Bulera, 31, Butarque, Madrid",40.338156,-3.679459
88,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
89,"calle Anoeta, 59, Los Ángeles, Madrid",40.3507539,-3.701507908925282
90,"calle de Sáhara, Los Rosales, Madrid",40.3530356,-3.6924521
91,"calle Alcocer, 39, Los Ángeles, Madrid",40.3497205,-3.7018123
92,"Villaverde a Perales, Butarque, Madrid",40.3389062,-3.6772808
93,"villaverde a perales, Butarque, Madrid",40.3389062,-3.6772808
94,"villaverde a perales, Butarque, Madrid",40.3389062,-3.6772808
95,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
96,"calle Limonita, 5, Butarque, Madrid",40.3439468,-3.6759839
97,"calle Flora Tristán, 1, Los Rosales, Madrid",40.3570425,-3.685489
98,"EDUARDO MINGUITO, Los Rosales, Madrid",40.3482729,-3.686627953609843
99,"calle Estefanita, Butarque, Madrid",40.34903,-3.6760582
100,"calle María de Echarri, 11, Los Rosales, Madrid",40.3584213,-3.6829116
101,"calle MONCADA, San Cristóbal, Madrid",40.3409648,-3.6920084
102,"calle de Paterna, San Cristóbal, Madrid",40.3413681,-3.6840847
103,"calle Euskalduna, Butarque, Madrid",40.3560432,-3.6820183
104,"calle Huerta de villaverde, San Andrés, Madrid",40.3484715,-3.7128393
105,"calle Augustóbriga, 5, Los Rosales, Madrid",40.3594429,-3.6828957
106,"Benimamet, San Cristóbal, Madrid",40.3435856,-3.6859913
107,"calle Eduardo Minguito, Los Rosales, Madrid",40.3484649,-3.6886982
108,"calle Flora Tristán, 10, Los Rosales, Madrid",40.3570425,-3.685489
109,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
110,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
111,"calle Eduardo Minguito, Los Rosales, Madrid",40.3484649,-3.6886982
112,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
113,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
114,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
115,"San Cristóbal, Villaverde, Madrid",40.3433537,-3.6878175
116,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
117,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
118,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
119,"calle Calcio, 15, Butarque, Madrid",40.3507213,-3.6791018
120,"calle Concepción de la Oliva, Butarque, Madrid",40.3540894,-3.6816592
121,"calle de Berrocal, Butarque, Madrid",40.3414776,-3.6754813
122,"paseo DE LAS MORERAS, San Andrés, Madrid",40.3468851,-3.7109754
123,"calle Huerta de Villaverde, San Andrés, Madrid",40.3484715,-3.7128393
124,"calle de Berrocal, Butarque, Madrid",40.3414776,-3.6754813
125,"GODELLA, San Cristóbal, Madrid",40.3405118,-3.6881634
126,"María de Echarri, Los Rosales, Madrid",40.3584213,-3.6829116
127,"calle Fuente de la Capona, Los Rosales, Madrid",40.3535755,-3.6846954
128,"calle de la Alegría de la Huerta, Los Ángeles, Madrid",40.3545782,-3.695308
129,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
130,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
131,"villaverde a perales, Butarque, Madrid",40.3389062,-3.6772808
132,"calle Tántalo, Butarque, Madrid",40.3525553,-3.6811527
133,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
134,"calle Alcocer, Los Ángeles, Madrid",40.3492379,-3.6995254
135,"Rocafort, San Cristóbal, Madrid",40.3421624,-3.6911032
136,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
137,"calle de Eduardo Barreiros, Los Ángeles, Madrid",40.3639645,-3.6992519
138,"calle de Clara Schumann, Los Rosales, Madrid",40.355074,-3.685819
139,"calle Diamante, Madrid, Los Rosales, Madrid",40.3511994,-3.6863075
140,"calle Moncada, San Cristóbal, Madrid",40.3409648,-3.6920084
141,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
142,"paseo de alberto palacios, San Andrés, Madrid",40.3437576,-3.7142445
143,"calle Eduardo Minguito, 13, Los Rosales, Madrid",40.3484649,-3.6886982
144,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
145,"calle Benimamet, San Cristóbal, Madrid",40.3435856,-3.6859913
146,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
