,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,has_parking,zip_codes_count,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio,buy_price
5166,67.0,75.0,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.3094378545642083,165000
5167,56.0,75.0,2.0,1.0,1.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.31641765579498,169900
5168,117.0,75.0,3.0,2.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,151,0.2119205298013244,26.7625,4235.69,0.3649936610091862,447000
5169,103.0,75.0,4.0,2.0,3.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.3852036311503132,335000
5170,191.0,75.0,4.5,3.0,1.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.5504191745807505,575000
5171,195.0,75.0,4.5,3.5,2.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,140,0.2428571428571428,27.23009708737864,4677.53,0.07981075061758353,1375000
5172,159.0,75.0,3.0,3.0,3.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,140,0.2428571428571428,27.23009708737864,4677.53,0.4521617178297093,695000
5173,195.0,75.0,4.5,3.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,140,0.2428571428571428,27.23009708737864,4677.53,0.5075328218098013,1090000
5174,170.0,75.0,4.0,3.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,140,0.2428571428571428,27.23009708737864,4677.53,0.4448929242570331,680000
5175,195.0,75.0,4.5,3.5,2.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,140,0.2428571428571428,27.23009708737864,4677.53,0.07981075061758353,1375000
5176,65.0,75.0,2.0,1.0,2.0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,140,0.2428571428571428,27.23009708737864,4677.53,0.2368771552507413,265000
5177,118.0,75.0,3.0,2.0,3.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,327,0.1804281345565749,27.03333333333333,2578.87,0.5483021633506149,389000
5184,60.0,75.0,2.0,1.0,1.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,233,0.1759656652360515,25.33888888888889,2900.58,0.2933895979424805,180000
5185,88.0,75.0,3.0,1.0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.3152543555898514,169000
5186,67.0,75.0,2.0,1.0,6.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.3505859847483931,208000
5187,80.0,75.0,3.0,1.0,3.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.396735307581515,249900
5189,77.0,75.0,2.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.279250184819924,205000
5190,77.0,75.0,2.0,1.0,2.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.2975076995830701,225000
5192,72.0,75.0,3.0,1.0,2.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,233,0.1759656652360515,25.33888888888889,3341.09,0.2723662038436558,198000
5193,99.0,75.0,3.0,2.0,3.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.4552381469403266,290000
5194,90.0,75.0,3.0,2.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,327,0.1804281345565749,27.03333333333333,2578.87,0.5219340253676998,360000
5195,60.0,75.0,2.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.2660079802394072,135000
5196,74.0,75.0,3.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.31641765579498,169900
5197,75.0,75.0,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.3299894915214803,180000
5198,113.0,75.0,2.0,1.0,1.0,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.3409095138317708,199900
5200,60.0,75.0,1.0,1.0,2.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.292763884957365,153000
5201,105.0,75.0,3.0,2.0,0.0,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.4296455424274973,265000
5202,77.0,75.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,233,0.1759656652360515,25.33888888888889,2900.58,0.2751173903150404,165000
5203,78.0,75.0,1.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.2334567461517049,159900
5204,86.0,75.0,4.0,1.0,4.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.3705377586356548,315000
5207,70.0,75.0,3.0,1.0,1.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.2732641144057777,199000
5208,70.0,75.0,3.0,1.0,1.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.2732641144057777,199000
5209,69.0,75.0,3.0,1.0,3.0,0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2902941274986695,160000
5210,86.0,75.0,3.0,1.0,5.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,140,0.2428571428571428,27.23009708737864,4098.7,0.3169297582160197,340000
5212,50.0,75.0,2.0,1.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.2660079802394072,135000
5213,55.0,75.0,1.0,1.0,2.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,233,0.1759656652360515,25.33888888888889,2900.58,0.3323473236387205,215000
5214,46.0,75.0,1.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.2660079802394072,135000
5215,62.0,75.0,3.0,1.0,3.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.31641765579498,170000
5216,58.0,75.0,3.0,1.0,4.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.286947383931722,149000
5217,80.0,75.0,2.0,1.0,3.0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.328050657846266,178500
5218,73.0,75.0,3.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.3365815260172091,185000
5219,80.0,75.0,1.0,1.0,2.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.274461328488607,200000
5220,77.0,75.0,2.0,1.0,2.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.274461328488607,200000
5221,44.0,75.0,1.0,1.0,3.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.2169950525128027,145000
5222,83.0,75.0,3.0,1.0,3.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,2900.58,0.3468271862868806,229000
5223,83.0,75.0,3.0,1.0,3.0,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,2900.58,0.3468271862868806,229000
5224,58.0,75.0,2.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,233,0.1759656652360515,25.33888888888889,2900.58,0.2689117348944004,159900
5225,80.0,75.0,2.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,2900.58,0.2968371842872805,183000
5226,66.0,75.0,3.0,1.0,4.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.3493778282736237,195000
5227,70.0,75.0,3.0,1.0,4.0,0.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.2954782521026651,155000
5228,70.0,75.0,3.0,1.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.3617863637949955,205000
5229,65.0,75.0,2.0,1.0,0.0,1.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,4015.76,0.2724266390421738,260000
5230,62.0,75.0,2.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.3436004417719965,280000
5231,55.0,75.0,2.0,1.0,1.0,0.0,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.310677054494192,240000
5232,75.0,75.0,3.0,1.0,2.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,233,0.1759656652360515,25.33888888888889,4015.76,0.2437894694902085,219900
5233,70.0,75.0,2.0,1.0,3.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.2954782521026651,155000
5235,50.0,75.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,140,0.2428571428571428,27.23009708737864,4098.7,0.2896040207870788,295000
5236,134.0,75.0,3.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,140,0.2428571428571428,27.23009708737864,4677.53,0.2499182260723074,288000
5237,62.0,75.0,2.0,1.0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,140,0.2428571428571428,27.23009708737864,4677.53,0.2338841226031688,260000
5238,63.0,75.0,2.0,1.0,1.0,0.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,140,0.2428571428571428,27.23009708737864,4677.53,0.2338841226031688,260000
5239,169.0,75.0,4.0,3.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,151,0.2119205298013244,26.7625,4235.69,0.5123132240555849,720000
5240,75.0,75.0,3.0,1.0,0.0,1.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,233,0.1759656652360515,25.33888888888889,4015.76,0.2475247524752475,225000
5241,85.0,75.0,3.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,4015.76,0.2657031296691037,250000
5242,95.0,75.0,3.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0,233,0.1759656652360515,25.33888888888889,4015.76,0.2510110165946172,229750
